"A",Integrated Math I Stand,73.35,227,Pre-Studies
"B",Integrated Math I Ext,73.29,245,Standard
"C",Integrated Math I Stand,93.68,241,Standard
"D",Integrated Math I Ext,90.23,264,Extended
"E",Integrated Math I Ext,83.84,265,Standard
"F",Integrated Math I Stand,90.51,,Pre-Studies
"G",Integrated Math I Ext,75.29,,Standard
"H",Integrated Math I Stand,60.85,219,Pre-Studies
"E",Integrated Math I Stand,89.43,245,Pre-Studies
"E",Integrated Math I Stand,90.33,246,Pre-Studies
"W",Integrated Math I Ext,91.71,249,Extended
"Q",Integrated Math I Ext,89.71,263,Extended
"Z",Integrated Math I Ext,94.57,261,Extended
"L",Integrated Math I Ext,99.53,275,Extended
"P",Integrated Math I Ext,84.82,251,Standard
"D",Integrated Math I Ext,87.29,251,Standard
"D",Integrated Math I Stand,82.62,243,Pre-Studies
"L",Integrated Math I Stand,92.92,230,Pre-Studies
"M",Integrated Math I Ext,91.67,264,Extended
"N",Integrated Math I Stand,87.93,242,Pre-Studies
"P",Integrated Math I Ext,67.43,251,Standard
"G",Integrated Math I Ext,72.86,244,Standard
"I",Integrated Math I Ext,85.14,250,Standard
"J",Integrated Math I Ext,88.14,262,Standard
"K",Integrated Math I Ext,91.67,259,Extended
"L",Integrated Math I Ext,92.43,261,Extended
"M",Integrated Math I Ext,94.14,260,Extended
"N",Integrated Math I Ext,72,259,Standard
"O",Integrated Math I Stand,86.37,231,Standard
"P",Integrated Math I Stand,75.52,225,Pre-Studies
"Q",Integrated Math I Stand,73.28,226,Pre-Studies
"R",Integrated Math I Ext,93.05,271,Extended
"S",Integrated Math I Ext,92,256,Extended
"T",Integrated Math I Ext,93.29,272,Extended
"U",Integrated Math I Stand,88.92,237,Pre-Studies
"V",Integrated Math I Ext,91.14,258,Standard
"W",Integrated Math I Ext,92,272,Extended
"X",Integrated Math I Stand,85.21,235,Pre-Studies
"Y",Integrated Math I Ext,95,274,Extended
"Z",Integrated Math I Ext,82.14,250,Standard
"J",Integrated Math I Ext,88,263,Extended
"K",Integrated Math I Ext,83.14,252,Standard
"L",Integrated Math I Stand,61.17,233,Pre-Studies
"M",Integrated Math I Ext,91.7,257,Extended
"N",Integrated Math I Stand,83.2,238,Pre-Studies
"O",Integrated Math I Ext,91.34,248,Extended
"P",Integrated Math I Ext,87.87,270,Standard
"I",Integrated Math I Stand,94.34,246,Standard
"H",Integrated Math I Ext,82.67,257,Standard
"G",Integrated Math I Ext,81.14,244,Standard
"F",Integrated Math I Stand,82.68,238,Pre-Studies
"D",Integrated Math I Ext,93.07,267,Extended
"E",Integrated Math I Ext,69.12,243,Standard
"B",Integrated Math I Ext,81.61,247,Standard
"A",Integrated Math I Stand,75.77,242,Pre-Studies
"Z",Integrated Math I Ext,88.86,252,Extended
"Y",Integrated Math I Ext,94.43,262,Extended
"X",Integrated Math I Ext,90.93,257,Standard
"W",Integrated Math I Ext,83.22,243,Standard
"V",Integrated Math I Ext,76,260,Standard
"U",Integrated Math I Stand,84.54,225,Pre-Studies
"T",Integrated Math I Stand,87.11,243,Standard
"S",Integrated Math I Ext,83.33,243,Standard
"R",Integrated Math I Stand,72.62,245,Pre-Studies
"Q",Integrated Math I Stand,78.62,232,Pre-Studies
"P",Integrated Math I Ext,81.57,256,Standard
"O",Integrated Math I Stand,88.92,257,Standard
"N",Integrated Math I Ext,84.71,258,Standard
"M",Integrated Math I Ext,78.6,240,Standard
"L",Integrated Math I Ext,100,279,Extended
"K",Integrated Math I Ext,81.86,243,Standard
"J",Integrated Math I Ext,68.57,252,Standard
"I",Integrated Math I Stand,71.89,236,Pre-Studies
"H",Integrated Math I Stand,86.34,241,Pre-Studies
"J",Integrated Math I Ext,78.84,249,Standard
"G",Integrated Math I Ext,70.57,258,Standard
"F",Integrated Math I Ext,99.07,285,Extended
"E",Integrated Math I Ext,92.31,263,Extended
"D",Integrated Math I Stand,71.87,230,Pre-Studies
"C",Integrated Math I Ext,93.14,267,Extended
"B",Integrated Math I Stand,79.86,235,Pre-Studies
"A",Integrated Math I Ext,79,257,Standard
